"","Sample_1","Sample_5","Sample_6","Sample_8","Sample_9","Sample_10","Sample_11","Sample_17","Sample_13","Sample_20","Sample_23","Sample_2","Sample_3","Sample_4","Sample_7","Sample_12","Sample_14","Sample_15","Sample_16","Sample_18","Sample_19","Sample_21","Sample_22","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28"
"P13535",180640,126210,145840,113350,84017,117040,146830.517293927,128300,83085,158070,156610,73894,63480,134960,159730,150250,99302.5122522757,146700,89006,81326.8722327937,154771.556922613,182270,94701,138560,106083.809869245,121710,82859,127919.683426542
"P13611",458960,997150,1391800,199850,509520,567320,990300,1010700,1199000,451730,901570,1027400,747410,418220,174170,300920,79696,673260,331780,107530,220730,1463400,182030,483790,635290,479680,690460,596560
"P13639",779970,981660,876860,1404700,1375400,948700,1082600,1115500,1034500,891240,1015800,1633100,1100100,1037900,1136300,1220100,1200700,803170,1086200,1396400,1059100,849120,1193900,743350,1327900,1134400,1809000,1283300
"P13667",229770,385500,480530,332330,396710,238840,335450,402570,394460,288460,331330,461030,424210,457170,503880,385610,282550,463250,374270,482900,243140,255780,591330,256680,460190,410380,421530,633310
"P13674",10233,14515,47797.5352022865,60915,37826,2436.5,135710,11092,36492.9803234022,40679.3450681604,41226,303270,175910,8620.7,5751.2,95240,312810,42702,27695,200650,51386.7033310419,42273,20471,6160,38997,10476,114900,18762
"P13693",169080,217910,267690,482610,209060,226520,276580,265160,161350,200790,226750,312250,340010,272080,303530,328920,136970,266640,340860,278190,220870,180290,301380,158340,285070,274520,411370,265180
"P13716",68732,94608,92351,95118,43925,121150,75243,73493,50955,34033,63280,27899,75644,91004,52369,71532,75845.2907906008,72423,94816,61093,70731,48791,126740,68547,69905,37831,87104,64706
"P13727",251600,310270,267260,191180,331940,153710,728260,595810,285580,219350,32712,28854,34360,767820,817670,850300,84944,270250,142370,825880,646810,169120,700620,390020,533080,213390,19498,4794900
"P13796",736430,883960,1037900,765290,931420,867870,808420,670030,1191600,1209000,1022700,1043500,670810,1498600,1099700,1038800,519740,649130,778070,819790,679150,556580,1151800,565880,1498900,861120,1029600,1516700
"P13797",158090,165420,232810,146680,205050,146500,261460,179870,209030,176010,217810,239600,211430,181780,90146,162250,119720,167020,172290,119810,103940,175780,173760,114430,274650,145370,165370,186190
"P13798",73344,72655,59731,72609,53224,60292,50747,114270,74067,58824,63958,66988,143460,102180,126960,74984,73801,85152,89256,215000,69470,50546,111000,80251,81908,116890,105720,79221
"P13804",226760,273870,197310,126800,183020,259860,128310,252650,157950,181030,141630,171790,324030,235630,261810,160150,109040,177780,230390,184530,252920,200710,406260,241260,142130,147230,130920,153040
"P13807",36741,36924,42819,58795,31670,29701,43322,27144,42256.5921951949,36677,46095,54624,47620,41601,42450,45217,76581,30062,31053,49928,39985,50835,35074,26879.2315173229,38176.1517176264,31040,33174,42300.0593469452
"P13861",180880,182260,177570,151850,170210,198750,190380,180670,214220,153030,153000,129350,192840,172440,213620,167710,134230,174060,167720,128510,210480,190150,184010,212340,203390,174830,159180,140800
"P13984",31381.7621593761,32148,33997,34827,53945,32313,29938,26644,25430,21976,22588,35278,50626,26775,35354,41347,25913,29711,35938,32813,38837,29320,32203,23940.6661669817,56192,57573,67306,48642
"P13987",316360,305120,425040,186440,281550,551130,297600,185740,420790,389090,316030,155910,193950,354980,246330,335790,193730,264580,202390,271500,366540,411920,300020,328210,251480,356320,159360,234110
"P14136",141630,119910,230498.213122442,76379,179971.350686336,181534.742929661,1059500,251970,507420,206475.958470431,333143.582939091,60374,65102,86342,66550,123150,61499,92493,71928,79945,198468.213385377,317579.927605909,86660,107030,204989.413826639,163242.390929205,154266.843911078,147570
"P14174",1642600,1172600,2347800,1780400,1363100,1437100,1547600,1720600,1172700,2004000,1790600,1765400,2661800,1729600,1618600,1399900,3133300,1540300,1608100,1020400,1062700,2410900,1449900,1643700,1309300,1773700,1951600,1006500
"P14207",30097,32539,23609,14151,32417.0559848314,51677,36021,11457,31017,38701,45598,16421,12032,45251,17950,44492,28072.823105359,31732.0284190261,30809.0137523563,33003.6615663288,23809,34797,54292,19561,31458.0401120139,19555,23741,32953.2435744922
"P14314",313170,366980,388930,366840,407970,404300,399310,364740,394240,291670,405100,481580,392030,425160,390140,395960,484860,322790,365740,421250,327710,305310,534760,326620,370230,344230,499300,334070
"P14317",160560,134650,181500,128660,147170,202320,169190,130780,73886,210160,158250,145400,81954,236260,190390,187370,70228,133100,150110,64047,147870,110090,159650,102320,106170,113080,157010,95499
"P14324",31197.7518587473,25065,25440,66066,7212.3,15764,25780.829534476,56069,30703.0725629062,16841,24439,73817,49834,65755,32069,28819,131380,52888,67683,42892,21780,19110,43531,19252,42741,20967,66479,41087
"P14406",178310,162830,186310,79224,282370,166200,140370,237340,171100,115450,119550,156690,307130,263860,252030,132310,171150,210590,285510,174180,217840,178240,604080,200150,230980,183910,138570,221370
"P14543",378890,365700,192500,361600,158040,314280,302150,247330,379350,438970,426590,188200,108180,208360,258120,237400,42893,478060,129930,83033,274950,637890,123630,620730,166710,355010,135510,302260
"P14550",446250,521540,423330,271910,349390,359900,389890,419320,298480,363030,308210,390760,328320,547830,531490,353990,375330,415750,468110,278790,346110,314150,508820,343910,276870,298380,378490,474840
"P14598",56504.5329446159,57186.7682142728,66860.435825707,29674,54008,66120.0471055584,54901,44908,72851.0365988643,56584,107370,79385,50532,151040,101390,176970,224710,36200,81024.1272830279,209690,40865,56826.5482936058,42516,42353.9970726417,144680,64990.1289919822,62585,280520
"P14618",2228400,2360200,2381100,4363700,2756100,9384400,2686700,2436000,2181400,2848700,2855400,5160400,3538900,3687100,2932200,2883600,3612500,3308400,3720800,4680500,2739800,3350800,2810000,2183600,2560700,3200000,3450400,3355900
"P14625",1417200,1679800,2383100,2471500,2502200,1504400,2250800,2288000,2404500,1489700,2137500,3418400,1718700,2374000,2523400,2332700,3188600,1650400,1862200,2728900,1338300,1825300,2607300,1463200,2735100,2541700,2319200,3263600
"P14678",219610,209170,277150,388430,335780,273150,230460,347650,295860,227230,181190,419350,353330,266330,254420,249000,456620,268660,332990,253240,222450,255990,225290,185280,307690,264690,415060,285190
"P14735",21928,22277,30811,87647,50446,32016,15016,54198,28671,33800,19227,50434,45115,21999,32555,19655,51343,24729,33095,53809,28619,35077.3488104293,40966,21278.163710962,27595,53695,85198,33268
"P14780",27619,177204.536101367,162440,166260,341880,175038.252179677,404520,130300,150300,81009,530430,107310,66117,347270,474810,948630,323230,67103,128780,969070,251910,202640.093769058,191630,180035.545092031,233170,87494,89317,215772.30391327
"P14854",351860,267660,249460,145480,289860,246780,168630,353460,105810,173880,178170,194310,377920,345870,303730,175710,171880,285710,413770,150840,283290,255960,705690,191840,135810,240420,237420,57626
"P14866",321420,311740,392830,498120,410630,468670,389520,408100,349950,311180,297220,489170,514340,407870,402690,378050,645800,357850,417470,225920,399670,372730,350680,187110,394600,367800,611870,351070
"P14868",146630,141470,181120,246870,250810,226040,190260,228950,195780,156800,148460,316380,264290,201430,210310,190240,360990,187730,268420,377230,183990,189330,223190,150270,303520,179340,309890,243420
"P14923",124250,118610,64870,209500,146880,205710,53304,137560,26456,75395,66173,176920,836670,144310,164170,36460,408370,256510,203530,272600,124360,83309,132530,69884,212260,414250,258970,104320
"P14927",174560,197210,191420,111720,187240,231700,112320,122430,194010,167540,105260,95674,192820,160910,179240,113720,119310,126610,193520,125600,193050,132560,384130,208700,139430,138000,138120,136110
"P15088",612500,555270,889890,127380,317020,1017300,602130,214950,655796.307739558,576170,213510,96500,266890,275440,517250,2122200,319925.967324798,258790,117860,371015.212589895,474790,955910,186600,335950,122810,484290,113770,375000
"P15090",99093,285910,173880,66290,56799,53056,836810,128590,1052900,291570,848290,411090,947220,135620,115450,333080,92022,235171.165019543,55768,222345.081423308,106330,174240,169980,861190,74744,30443,394880,501770
"P15104",64417.9040372465,52933,24490,97730,37979,134362.014563329,21214,84848,17203,25441,36287,50159,40451,72479,65854,34634.1194658295,64890,77803,115940,17365,30815,19969,478380,13522,18175,53907,29549,26292
"P15121",194740,192630,223180,92454,132330,163760,156240,178740,170250,222970,118300,154300,84320,204320,107370,130720,82296,147000,194640,138490,145760,156020,223800,149760,149030,102990,114660,167070
"P15144",114420,215220,228560,16782,19807,93611,74459,1454800,70649,15636,61084,99249,32219,48755,484860,79204,107200,28960,138190,25842,75243,35419,29006,393370,106340,17190,81756,41030
"P15153",217110,232680,304900,188740,253230,227090,277640,172880,360430,340600,387420,254400,154720,497890,312320,368940,498270,123990,164360,237130,220700,132210,276070,82470,347630,174860,210840,418000
"P15170",38218,52612,56377,77110,70707,56967,43201,70732,63168,51750,46725,86100,87644,75198,60347,50457,102460,53948,85153,137560,66723,65014,61812,37129,81089,56188,63844,67973
"P15311",378170,478150,319460,296840,409620,321340,186130,816120,221030,309740,197140,216270,423230,441660,430330,302350,313260,492990,475610,760950,330270,288200,883120,278430,259950,641580,403690,327390
"P15374",68159,67996,48114,122000,61789,95114,89683,132860,93856.2355685342,94856,60842,103940,144600,112000,103880,128080,96476,101440,124480,105730,122400,45425,100800,70941,146450,78138,160430,80944
"P15502",95510,129910,35397,73653.8417940352,85159,52432,48209.8904446194,48549.6289243441,47630,87429,61728,101657.298775478,17952,58287.9959789609,50573.6052102131,52739.0318634727,259800.665037757,213570,70830.0994583904,83903.0457729589,13925,208790,34020,98110,29543,39892,59651.9631574227,27040
"P15531",225660,204270,236070,435390,271720,232180,289040,472240,82904,196790,250890,315050,352190,306450,335040,280770,406840,260780,342020,381190,296120,264830,269710,182600,164490,320980,393600,146060
"P15559",453930,577910,251310,61136,372163.958973389,1517600,59940,7437.8,358142.321739831,369638.412219456,234160,361530,110880,427095.390688312,288740,244087.893779215,160560,1181800,63205,35475,9114.8,207440,969430,246410,169920,49151,351309.493784997,409200
"P15586",113085.004619694,86642,116900,72254,103080,140850,106190,132530,162750,95053,145520,126280,202710,121270,90666,128660,108920,114860,124560,145500,75673,133210,154930,99191,64749,109940,95888,140590
"P15880",392550,444660,633620,599030,813720,518390,655630,641790,575970,462500,542020,738350,620340,602470,615820,717110,816060,489940,671530,862050,548790,496890,776160,406680,685890,603620,696440,612270
"P15924",48344,63129,16365,156590,105270,122580,13775,116510,10578,23881,28667,121720,217010,108950,105230,5763.9,401230,195040,115700,149430,43648,43973,71927,39003,156120,254850,139090,105400
"P15941",85265,40567,43548,84393,176690,90228,19161,82574,110680,71892,62120,118286.273076226,455310,86726,62575,72783,63019,160730,408810,279470,27104,87830.1083169741,105820,55334,63741,79682,62209,33584
"P16070",354400,231750,242070,216830,932860,395870,271290,316250,279720,463150,244080,237220,157110,232370,225210,320130,251250,215600,246190,615890,276260,274050,189720,249280,137860,201580,184460,260150
"P16144",132470,90043,74559,47040,157430,97362,44642,92535,58350,70867,57301,62620,100860,125160,109920,53770,189390,79461,75698,232050,67716,67516,80242,82519,60301,152270,167590,110600
"P16152",771470,946690,680040,484930,450050,563230,435810,2330500,577190,754270,539480,386840,602630,660000,1139100,495020,265380,673040,966330,795420,713070,476060,771970,779430,441180,545130,376660,517740
"P16219",145680,124890,78182,52800,76461,268910,82002,126320,67686,100980,67759,59387,258960,157410,335110,86000,59676,67501,220730,143160,138400,68039,558730,173960,50649,60096,64519,76020
"P16278",92147,46654,53626,72308,92449,49726,75205,78768,62027,39323,56440,76436,134370,57232,75018,89639,70195,53021,89008,149170,50263,70038,67442,66155,90136,51989,93508,102700
"P16284",36149,59818,65025,55921,60658,49223,62365,53540,83664,62631,134270,46837,39161,56617,38452,110080,22120,31257,31348,19432,42182,69749,45233,31066,47444,52235,43979,69156
"P16401",1362900,1873600,1639500,955120,2918100,2102200,2280500,1866500,1889000,1695000,2033600,2392500,2662400,2131500,1790300,2336300,4574700,1835300,1759000,3003700,1783100,2029000,2367200,1338300,4873400,2028000,949210,3031300
"P16403",2251461.2066528,2861744.50319446,5511600,4301300,3218200,2952959.80082225,1556500,2188400,3048232.3581584,2995700,3093700,3848000,1336400,3580400,2166200,1319600,2294200,1426400,1501200,6093500,1723000,3002400,3177400,1298800,4019400,4287700,2408600,4588600
"P16422",43281,41161,18680,91567,176450,124390,17000,158280,60810,14492,53608.7006186124,134630,112690,19303,109050,17233,207910,40479,17617,340150,36826,16297,26459,34645,202920,68992,217250,14167
"P16435",68780,100970,82272,92608,66102,88747,65762,105260,77839,92654,83237,117720,262770,71636,80077,103860,120490,258740,130050,183870,61950,105660,128640,60364,108410,76314,162290,110570
"P16455",20141.7483705068,30771,15048,21708,24004,20163,18757.0379691801,20300,25547.5844789346,34516,9573.8,17313,12077,15861,10193,21574.5562797961,56539,34926,10679,19953,13771,19439,19106,19074.7853871809,10599,14640,25161,23573.1153292558
"P16615",255550,252550,270170,279160,315310,262580,274210,323810,306650,268860,283530,258910,291030,277270,294720,318950,276040,326050,312780,292400,292920,271680,279400,207260,250140,363870,264890,320610
"P16671",30400,56334,39226,26284,60288.0064586137,62318.3373019237,129710,41307,56018.4240361644,58281,120890,57892,127950,34660,55588.0488954226,43071,75689,62724.5767162826,54076.3386363836,76617.6493811528,21500,40382,46698,71914,59210.7461246592,49325.0831975999,70197.9689653882,59305.5915375598
"P16885",110790,129670,189110,126620,216830,291650,231950,167630,228370,254920,342650,226350,109900,340820,242920,313170,150980,90796,184700,117910,171790,114390,143430,168941.913599118,211260,226590,235320,303560
"P16930",71535,101390,95702,90248,58113,56700,136840,58401,134890,52799,125400,91602,115870,104180,102130,122880,54553,77092,153370,75188,99299.5313965849,60640,95711,141090,98051,63580,66671,108250
"P16949",140620,211400,254570,767310,378350,227000,290740,405210,317950,197100,180200,547760,221870,66509,510650,312300,980490,417770,339880,344160,290860,251710,258350,201780,511860,473250,373000,472210
"P16989",24043,56535,61412,68924,81123,57219,67694,68909,85830,52158,48906,63194,56652,53380,72509,151290,47497,66881,108520,35161,81012,88765,43289,52167.0776952399,76108.3864261898,89707,82290,57117
"P17050",29507.1186006103,25080.4103225619,19746.1366260144,21506,26392,21457,22996.9780339755,26790,29193,18956,21521,22608,31996,45068,25751.3541141705,29497,27867.0875299925,29983.3400563098,23560,26344,26569,29315,26852,16873.5499403397,26264,24284,32683,27180.8611238338
"P17066",1157500,1534700,1478400,1658400,2304400,1631500,1427349.47866812,1806800,1916600,1551270.7413324,1515600,1995600,1382200,1568500,1637300,2184900,1993500,1515000,1833900,2527000,1367836.91007782,1279200,2129200,1183069.98791818,1836700,2486800,2093200,2510900
"P17096",440090,385600,778210,323180,652320,1613300,392130,526850,653780,922030,401180,621060,408150,794280,677140,567400,1305400,497260,1118600,2140600,732850,392570,890010,401910,861570,1391200,770640,554350
"P17152",31166,17676,17802,18248,18633,29205,27096,22155,28359.8450280145,16413,13799,22262,22538,34442,30294,18505,39910,38894,26163,28579.7129116835,25986,22866,35083,17198.4415902673,24250.4225965821,15488,42560,27904.4762444174
"P17174",78497,116850,90287,106760,61412,91738,41063,196200,93376,89814,66988,55522,114200,126740,206610,75765,61136,141390,116220,198530,117910,58411,368950,112590,96720,128940,184700,68370
"P17252",18752,42407,61269,30372,42132,33064,47732,57017,58761,121210,34540,35928,15768,58320,55951,43860,34165,24269,36060,36774,40489,64559,24434,78388,50156,25861,20110,64542
"P17301",28046.4457225477,15989,13689,6833.1,26121,34393,23242.7118977222,26902,29918.4177744103,18787,23118.2290107965,61230,37218,33112,20339,11834,22400,18511,26042,30657,14224,36711,30843,18289.0780239574,23998.3724551657,31408,28492,27885.357727457
"P17480",209970,212820,275110,301260,260080,168050,233810,334120,254720,256230,201920,219170,225840,278860,214900,254260,444840,246720,224030,139110,181540,248830,236010,74547,242100,169040,324280,179730
"P17568",21573,49769,37510,30183.1790438491,39214,47137.9400237103,34545.8333694471,29113,66137,39795.5234330605,32373.5799603396,29827.685135856,61140,43516,54668,40869,37572.4872217524,60528.6926793764,36755,38467,46044.0447529558,40913.5265719396,150650,35579.5982074902,34525,36570.7543125374,35654.5647555613,27093
"P17612",211880,194610,175000,183460,144240,197380,199570,171500,262300,242150,237100,143390,122700,169650,222160,188660,118760,181500,131270,84474,255630,224740,209580,271350,174300,183330,154080,250620
"P17655",151090,202100,145650,79394,144200,227700,190860,116100,166470,174630,164360,80380,127020,245860,152070,143930,63259,164780,143960,41937,109370,121780,240200,118150,105590,174870,104400,110330
"P17661",15281000,6917900,7263200,12142000,3650900,5892000,6699700,6168100,15803000,10896000,11105000,174270,243630,3717500,13434000,7941500,55331,6328300,3722900,118750,22317000,8444800,4303500,20459000,1781500,8820600,1592600,10601000
"P17812",44658,62020,49454,89866,69934,34733,29783,94109,58110,62630,50704,188980,82942.3487904145,46969,63730,59269,147250,110980,90385,127230,62369,69860,41841,38378,54582,92567,119160,65913
"P17844",158480,139280,160810,334060,240560,112030,165110,240950,201360,147250,150650,236500,213090,135100,194780,207570,309780,163050,212010,307630,174720,186660,162850,97563,274460,253570,289010,214540
"P17858",219250,226690,141350,167190,188540,223480,210300,170710,155720,204090,184720,246190,185180,262430,281050,181130,387690,228300,259210,169640,202550,176210,257410,200260,192180,187030,354430,247510
"P17931",870750,1048800,658530,421190,523230,1987100,531570,722400,405110,641960,429520,371230,827890,807910,1073600,494470,571620,761390,994530,485470,512500,381160,765770,497400,422990,749520,1266100,417890
"P17980",153850,279710,181430,239490,214410,128050,127100,280780,173160,224740,154350,273320,215310,160830,182910,196750,294120,269080,269050,293620,172080,191000,197240,131990,246860,256330,288190,256370
"P17987",274780,272630,262230,450610,303130,245360,252790,337540,238190,274780,265720,389250,330600,267390,285220,301720,400320,308830,292700,508600,315320,232820,299700,239750,325260,318120,373430,318930
"P18031",33608,32221,45620,81361,61557,58054,42986,59924,27018,43031,44745,116130,83432,64276,52035,53610,97821,55936,105810,83939,29521,52760,53280,36081,55088,56406,88057,83481
"P18065",52172,73925,56421.7926430302,28527,59537,67677.2459157078,59210.5692178919,22036,93394,58144.5061386421,72754,63222,102067.282134218,93472,63265,83579.0012233683,182530,23187,67377,363900,49596,57462.8239074157,53106,67475,110290.385377416,87837.3509553409,66283.8980645452,94441.8542578763
"P18077",139080,105330,231980,242280,341730,266200,247720,269010,226590,201330,203540,256050,244510,254190,255940,331990,340150,225830,273390,350700,254880,243510,317420,127100,271790,288530,221660,242190
"P18084",69717,60054,74043,48886,84574,67211,80573,26557,87476,62425,56315,75896,80527,48823,65556.1781887329,83632,79297,49969,62346,86201,42186,84791,33829,53787,109570,39366,44193,60046
"P18085",463580,421970,436350,384340,578510,334290,629490,721290,571940,378200,638010,690830,510650,541940,746150,627280,605660,472970,546080,745280,429270,515600,576410,395810,532840,497890,571630,657810
"P18124",618210,547540,910240,1014100,1073600,791460,999750,943350,835310,674930,761850,1059800,860570,959760,930410,1007300,1176800,748330,1008500,1241400,828500,807090,1096900,583060,1107100,902890,1057800,943940
"P18206",1379400,1296200,1214700,1213100,826610,932210,1133000,696040,1855000,1708300,1384900,625910,569320,963260,1063200,1027000,223330,1311000,673020,510900,1677800,1560300,605360,2232600,834880,1204500,610770,1301600
"P18283",145440,333290,40557,129170,119370,565840,86194.6559424556,195400,97605.5748091169,94664,91694.0559439532,106560,224440,282630,226640,99556.5366989623,75516,236290,135020,630160,81369,131197.845528846,319670,60230,74969,50434,147150,22927
"P18428",86215.3679926238,70681,195740,61239.984693608,42381,54915.8177171759,152500,35991,87877,96869,102400,271470,91759,26467,34610.295824314,39892,66164,32372,52817,67173,52536.663977289,56748,24067,86111.6776904308,55413,36432,21593,41809
"P18433",30037,22970,19332,16200,39796,42297,19729,13256,26413,21772,17614,30449,17490,25379,10036,20060,21043,22085,15671,19327,16075,22414,17198,15347.1740879939,22442,13542,24467,20909
"P18583",36748,44483.3048779682,44524,50549,74980,36333,49765.4896521464,44292,47709.4576662888,35103,46857,50400,70954,44458,47430,57455,81840,18330,36113,58577,43910,35564,48571.5172874967,36009.6203803119,79833,62515,55528,61681
"P18621",340080,319510,441580,639300,579710,432110,456900,620820,374460,367560,360960,605310,511190,567560,502700,530390,656210,391430,583600,682970,464240,418100,651480,236300,515330,341000,599970,533440
"P18669",419290,477530,506650,624840,176290,515550,399510,439660,172630,443710,372820,544790,498790,569840,631330,378670,441510,488190,391400,605120,512790,358360,442800,625670,266660,421440,617980,404820
"P18754",63658,59789,65472,79161,91666,76386,48267,142040,48681,82797,44469,155860,74859,54380,74682,62554,212230,206610,150330,180610,61734,74085,75726,35366,105550,103990,162390,78176
"P18859",276850,253460,285310,215970,319750,256020,210638.283306344,185880,183560,284780,267160,172430,200680,296990,334050,220190,144470,270990,271960,264440,260750,155120,777420,413840,180130,394800,197740,146660
"P19338",444540,628630,668690,1075100,973340,729520,631860,880610,751990,775580,606100,1183000,1044200,596460,623220,729130,1450800,683300,652170,1128200,612300,719100,603150,493870,1282500,979210,852150,1001400
"P19367",182850,195610,185470,191630,220550,294780,121180,204820,271270,253120,154010,196970,207400,187980,183530,175710,195020,221780,199250,131810,215860,219840,290200,154320,116940,286620,168210,206310
"P19404",237790,281760,226290,161240,223770,257260,192750,217960,213180,176750,182430,140350,209940,302740,290210,162870,131420,178940,243750,190910,327090,210410,530710,372030,159530,187460,180190,162540
"P19474",33321,27739,25245,15326,38528,24140,15874,22359,41562,35443,17504,25718,17533,47826,23135,27011,7965,24287,25125,42891,24902,20960,31465.6757695335,17862,28029,48931,29225,37830
"P19525",45076,37030,28108,35862,25458,24055,32609,48987,34446,43483,30582,53735,46707,29169,31860,43018,47100,42253,32858,85367,34094,37927,34568,19272,54919,50727,38480,43356
"P19623",94923,67723,124910,94334,110580,61993,163530,113230,99364,86965,138860,168130,87902,105520,97367,165010,136680,103110,74753,117660,85040,106240,87591,87111,106050,116840,93730,126590
"P19652",163870,219150,207640,132210,125862.351647157,68594,253180,298520,161000,178350,265050,92274,110710,168340,147110,315840,152660,41197,64026,47180,37753,33601,154440,147890,37983,49281,84564,127273.578798753
"P19823",240880,354590,286470,179790,169280,182930,443180,329170,524440,237730,616240,539530,307260,192930,57013,428890,129920,292850,153450,155780,195050,302690,176470,376400,182180,271200,212840,305920
"P19827",284470,296150,431910,122120,117870,121810,371900,461160,300410,190890,431510,253540,249950,146340,47554,328340,39044,263430,110760,78188,168200,545360,135330,173950,157370,271850,230210,180360
"P19838",42911,42200,38223,15608,36456,27897,18381,25654,30875,42936,28733,24053,25866,31361,21540,34101,17969,20000,22139,25722,25176,38547,24678,18749,28565,23829,47149,28832
"P19971",439680,295040,436750,572940,298130,354110,267150,295100,438480,254180,282570,615450,302760,445330,399610,248020,243170,457130,451050,226750,244750,262230,312680,242620,530580,700960,650240,517820
"P20042",99600,86368,121580,156300,164330,136440,153590,172160,159460,108590,125160,197980,193050,133890,136350,140730,258180,140920,192990,205680,125230,125070,157130,101840,181700,156580,155140,177310
"P20073",306010,284390,333090,282700,309420,252910,247660,240240,344230,341270,281720,237060,240210,271160,259800,262100,219840,280830,153000,308370,284350,293720,253130,284280,265010,318640,281500,288740
"P20142",599939.076209693,890540,306290,527609.470369356,243630,994368.888092931,63385,1215200,549130.423602251,41654,839590,474411.72613966,679642.810955802,639950,2006600,431794.388179455,641463.20323576,278070,1393100,46119,1116000,65804,4267200,489000,552334.478373573,485725.698010986,711394.928031083,47852
"P20160",15791,140340.706517176,99043,307990,188210,181670.737041428,442200,171010,105130,31724,270340,31442,138600,498980,322950,733670,533020,104380,144870,910630,261610,186602.992336594,222850,149080.423608179,624100,45138,39614,235673.159282964
"Q15661",2239000,1849600,1412300,258490,811510,1134000,832010,1038000,671420,944720,1432700,181590,479480,1667100,1046700,2342400,856669.962880068,901170,729690,39516,1497900,3675500,2687300,663590,303950,1060600,338430,593010
"P20292",59580,73671,96409,55649,148110,90787,174820,64046,119650,130590,110990,121370,105540,147630,131050,191010,240610,115200,148790,173230,103090,103820,94920,82364.4311866439,189650,120250,85795,431310
"P20338",88363.140311453,64745,166070,91723.3256016585,127610,90854,76637,101546.325983513,77598,95530,79906,120840,107910,112270,145120,123720,77296,101390,92144,74162,89016,105440,156110,69356,81954,82875,97760,111030
"P20339",136430,139200,85333,81588,138660,68825,83732,116500,158420,115020,92935,131020,109030,85319,109830,123040,147600,130570,99257,98440,87421,113680,131850,86200,139100,118740,143200,147290
"P20340",653450,714500,821670,806760,910920,722690,744250,677210,672270,708690,752920,882230,939900,906880,878930,721700,1326400,738910,860160,1052900,697990,773920,926940,553550,726150,805250,948860,765720
"P20591",326640,163170,66247,111210,24452,74807,12367,88650,111530,167050,31293,106080,37918,90733,88871,150040,103000,155050,122800,290420,22568,31529,52567,72034,30051,337210,126630,144980
"P20592",185300,61317,46076,17157,37550.6185714707,71768.7928744657,48995.5210839027,30682,10780,49699,40942,34867,35209.1036312563,44961,50206.8435204013,51088,63547,31925,14357,57491,61801.7063329341,30657,45717,46500.1404536524,17060,55630,32657,60824
"P20618",178710,191610,166270,174670,125710,141630,157660,259900,147140,130330,139370,187010,188210,197040,219200,204240,180600,222630,209640,253560,201600,155130,213980,114560,169290,197760,265250,62680
"P20645",61738,64015,50552.0475501708,56744.5156794487,81881,59496.3856109039,46822.686824099,54244,52910.1782457771,67605,41643,80416,73052,50300,53610.1351388722,50761.6498699224,113830,49367,47636,53368.6959930361,47979.6019294729,46958,53331,40368.2268361304,42908,54544,71536,73881.4339711191
"P20648",173090,380670,120220,191610,203420,277800,109650,383750,56790,121940,80821,166160,253120,537660,289010,120130,180740,271050,538810,257980,231780,127540,3644400,162490,224850,144050,195820,86184
"P20671",19641000,19923000,27150000,19030000,28861000,19911000,15320000,17547000,25797000,23615000,23595000,16708000,19867000,23601000,19306000,23595000,20743000,17650000,14993000,14801000,20410000,16933000,18570000,15780000,28196000,18683000,19761000,28657000
"P20674",268150,224730,199210,176770,367840,262010,284980,270620,254820,131690,229360,160690,373720,387040,308410,200830,152310,235230,437900,146350,318440,221390,1273900,360690,244010,343450,222880,311340
"P20700",303540,315080,358320,337040,481710,557600,359410,353620,387830,367650,393670,387960,361250,369430,329370,405580,405950,310080,327170,342050,344850,312070,304430,214990,459980,328050,325210,379800
"P20774",3053100,3152100,2952600,208480,459230,557730,1083800,771000,2456000,1585300,1358000,325540,217560,636650,676980,462400,198286.953072921,464180,182800,19877,1064200,1299800,482120,4977400,860540,338590,87696,945340
"P20810",128990,228570,222040,146920,201770,197690,180780,189300,282450,203700,200100,256760,117120,167490,202900,240950,108170,148280,258870,110710,175310,189910,162260,136380,211810,313710,131800,114500
"P20908",195230,317080,337740,130624.518051202,146202.898316764,128510,276700,96475,259450,241427.3523838,311390,155920,142880,85091,130297.683287414,246115.197676391,147029.587905443,124980,112040.708519224,43715,165653.356463142,218850,170581.739613853,359140,216530,111099.630351976,78709,113210
"P20933",125140,127100,78269,68707,83644.7056358736,91906.3639095972,82358.5166924589,63064,73863,36359,76871.1620962412,77845.3856539152,90958.5490594046,112830,109174.181886905,100190,81315,68201,70852,65861,204270,108820,68360,94106.1524116964,131150,94538.9950042932,89332.2876382459,87858.9688263486
"P20962",168230,318660,315090,218260,231890,139010,287520,280110,291110,198790,351090,338070,236840,265690,319250,227570,395450,218355.676635762,207040,86240,232610,215350,153870,179910.781921062,221330,233720.62678497,196510,233020
"Q9UQ88",42383.2714426863,38567,65876,69180,52644,40789,39119.4731694626,59403,46469.0804798092,34519,39594.3728349451,58438,85233,42881,52918,52681.0480084188,179870,81240,51660,68398.4838743252,45773.7674003759,60417,40373,31148.6104924253,61030,66255,92067,52802
"P21266",426920,277280,313210,188410,152240,191970,151590,358380,357440,368520,213920,120980,138900,235990,257540,209090,221580,278920,338250,2963500,295330,185900,259230,418600,129630,232150,145260,151030
"P21281",140470,165450,155380,146290,210290,162630,197760,114210,175730,149060,152280,208200,144020,173680,168990,189970,208020,146460,152180,222940,180720,124420,203670,107200,190890,131300,168750,235290
